ANDORRA,42.5,1.5
AFGHANISTAN,33,65
ANTIGUA AND BARBUDA,17.05,-61.8
ANGUILLA,18.25,-63.1667
ALBANIA,41,20
ARMENIA,40,45
ANGOLA,-12.5,18.5
ANTARTICA,-90,0
ARGENTINA,-34,-64
AMERICAN SAMOA,-14.3333,-170
AUSTRIA,47.3333,13.3333
AUSTRALIA,-27,133
ARUBA,12.5,-69.9667
AZERBAIJAN,40.5,47.5
BOSNIA AND HERZEGOVINA,44,18
BARBADOS,13.1667,-59.5333
BANGLADESH,24,90
BELGIUM,50.8333,4
BURKINA FASO,13,-2
BULGARIA,43,25
BAHRAIN,26,50.55
BURUNDI,-3.5,30
BENIN,9.5,2.25
BERMUDA,32.3333,-64.75
BRUNEI DARUSSALAM,4.5,114.6667
BOLIVIA,-17,-65
BRAZIL,-10,-55
BAHAMAS,24.25,-76
BHUTAN,27.5,90.5
BOUVET ISLAND,-54.4333,3.4
BOTSWANA,-22,24
BELARUS,53,28
BELIZE,17.25,-88.75
CANADA,60,-95
COCOS (KEELING) ISLANDS,-12.5,96.8333
THE DEMOCRATIC REPUBLIC OF CONGO,0,25
CENTRAL AFRICA,7,21
CONGO,-1,15
SWITZERLAND,47,8
CÃ”TE D'IVOIRE,8,-5
COOK ISLANDS,-21.2333,-159.7667
CHILE,-30,-71
CAMEROON,6,12
CHINA,35,105
COLOMBIA,4,-72
COSTA RICA,10,-84
CUBA,21.5,-80
CAPE VERDE,16,-24
CHRISTMAS ISLAND,-10.5,105.6667
CYPRUS,35,33
CZECH REPUBLIC,49.75,15.5
GERMANY,51,9
DJIBOUTI,11.5,43
DENMARK,56,10
DOMINICA,15.4167,-61.3333
DOMINICAN REPUBLIC,19,-70.6667
ALGERIA,28,3
ECUADOR,-2,-77.5
ESTONIA,59,26
EGYPT,27,30
WESTERN SAHARA,24.5,-13
ERITREA,15,39
SPAIN,40,-4
ETHIOPIA,8,38
FINLAND,64,26
FIJI,-18,175
FALKLAND ISLANDS,-51.75,-59
MICRONESIA,6.9167,158.25
FAROE ISLANDS,62,-7
FRANCE,46,2
GABON,-1,11.75
UNITED KINGDOM,54,-2
GRENADA,12.1167,-61.6667
GEORGIA,42,43.5
FRENCH GUIANA,4,-53
GHANA,8,-2
GIBRALTAR,36.1833,-5.3667
GREENLAND,72,-40
GAMBIA,13.4667,-16.5667
GUINEA,11,-10
GUADELOUPE,16.25,-61.5833
EQUATORIAL GUINEA,2,10
GREECE,39,22
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,-54.5,-37
GUATEMALA,15.5,-90.25
GUAM,13.4667,144.7833
GUINEA-BISSAU,12,-15
GUYANA,5,-59
HONG KONG,22.25,114.1667
HEARD ISLAND AND MCDONALD ISLANDS,-53.1,72.5167
HONDURAS,15,-86.5
CROATIA,45.1667,15.5
HAITI,19,-72.4167
HUNGARY,47,20
INDONESIA,-5,120
IRELAND,53,-8
ISRAEL,31.5,34.75
INDIA,20,77
IRAQ,33,44
IRAN,32,53
ICELAND,65,-18
ITALY,42.8333,12.8333
JAMAICA,18.25,-77.5
JORDAN,31,36
JAPAN,36,138
KENYA,1,38
KYRGYZSTAN,41,75
CAMBODIA,13,105
KIRIBATI,1.4167,173
COMOROS,-12.1667,44.25
SAINT KITTS AND NEVIS,17.3333,-62.75
SAINT MARTIN, 18.06, -63.05
SOUTH KOREA,40,127
NORTH KOREA,37,127.5
KUWAIT,29.3375,47.6581
CAYMAN ISLANDS,19.5,-80.5
KAZAKHSTAN,48,68
LAOS,18,105
LEBANON,33.8333,35.8333
SAINT LUCIA,13.8833,-61.1333
LIECHTENSTEIN,47.1667,9.5333
SRI LANKA,7,81
LIBERIA,6.5,-9.5
LESOTHO,-29.5,28.5
LITHUANIA,56,24
LUXEMBOURG,49.75,6.1667
LATVIA,57,25
LIBYA,25,17
MOROCCO,32,-5
MONACO,43.7333,7.4
MOLDOVA,47,29
MONTENEGRO,42,19
MADAGASCAR,-20,47
MARSHALL ISLANDS,9,168
MACEDONIA,41.8333,22
MALI,17,-4
MYANMAR,22,98
MONGOLIA,46,105
MACAO,22.1667,113.55
NORTHERN MARIANA ISLANDS,15.2,145.75
MARTINIQUE,14.6667,-61
MAURITANIA,20,-12
MONTSERRAT,16.75,-62.2
MALTA,35.8333,14.5833
MAURITIUS,-20.2833,57.55
MALDIVES,3.25,73
MALAWI,-13.5,34
MEXICO,23,-102
MALAYSIA,2.5,112.5
MOZAMBIQUE,-18.25,35
NAMIBIA,-22,17
NEW CALEDONIA,-21.5,165.5
NIGER,16,8
NORFOLK ISLAND,-29.0333,167.95
NIGERIA,10,8
NICARAGUA,13,-85
NETHERLANDS,52.5,5.75
NORWAY,62,10
NEPAL,28,84
NAURU,-0.5333,166.9167
NIUE,-19.0333,-169.8667
NEW ZEALAND,-41,174
OMAN,21,57
PANAMA,9,-80
PERU,-10,-76
FRENCH POLYNESIA,-15,-140
PAPUA NEW GUINEA,-6,147
PHILIPPINES,13,122
PAKISTAN,30,70
POLAND,52,20
SAINT PIERRE AND MIQUELON,46.8333,-56.3333
PUERTO RICO,18.25,-66.5
PALESTINE,32,35.25
PORTUGAL,39.5,-8
PALAU,7.5,134.5
PARAGUAY,-23,-58
QATAR,25.5,51.25
REUNION,-21.1,55.6
ROMANIA,46,25
SERBIA,44,21
RUSSIAN FEDERATION,60,100
RWANDA,-2,30
SAUDI ARABIA,25,45
SOLOMON ISLANDS,-8,159
SEYCHELLES,-4.5833,55.6667
SUDAN,15,30
SOUTH SUDAN,6.98,30.45
SWEDEN,62,15
SINGAPORE,1.3667,103.8
SLOVENIA,46,15
SVALBARD AND JAN MAYEN,78,20
SLOVAKIA,48.6667,19.5
SIERRA LEONE,8.5,-11.5
SAN MARINO,43.7667,12.4167
SENEGAL,14,-14
SOMALIA,10,49
SURINAME,4,-56
SAO TOME AND PRINCIPE,1,7
SYRIA,35,38
SWAZILAND,-26.5,31.5
TURKS AND CAICOS ISLANDS,21.75,-71.5833
CHAD,15,19
TOGO,8,1.1667
THAILAND,15,100
TAJIKISTAN,39,71
TOKELAU,-9,-172
TURKMENISTAN,40,60
TUNISIA,34,9
TONGA,-20,-175
TURKEY,39,35
TRINIDAD AND TOBAGO,11,-61
TUVALU,-8,178
TAIWAN,23.5,121
TANZANIA,-6,35
UKRAINE,49,32
UGANDA,1,32
UNITED STATES MINOR OUTLYING ISLANDS,19.2833,166.6
UNITED STATES,38,-97
URUGUAY,-33,-56
UZBEKISTAN,41,64
VATICAN,41.9,12.45
SAINT VINCENT AND THE GRENADINES,13.25,-61.2
VENEZUELA,8,-66
BRITISH VIRGIN ISLANDS,18.5,-64.5
VIRGIN ISLANDS US,18.3333,-64.8333
VIETNAM,16,106
VANUATU,-16,167
WALLIS AND FUTUNA,-13.3,-176.2
SAMOA,-13.5833,-172.3333
YEMEN,15,48
MAYOTTE,-12.8333,45.1667
SOUTH AFRICA,-29,24
ZAMBIA,-15,30
ZIMBABWE,-20,30
STATELESS,0,0
VARIOUS,0,0
UNITED ARAB EMIRATES, 23.7, 54
EL SALVADOR, 13.6, 88.8
EAST TIMOR, -8.5, 125.5
CURACAO, 12.18, -69
TIBET, 31.7, 86.94